1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
C,C,C,P,C,G,P,P,G,R,O,O,R,Y,O,P,Y,G,R,B,B,B,B,O,Y,Y,G
C,C,C,P,C,G,P,P,G,R,R,O,Y,Y,O,P,Y,G,R,O,O,Y,B,B,B,B,G
C,C,C,P,C,G,P,P,G,R,R,Y,R,Y,Y,P,O,G,B,B,Y,O,B,B,O,O,G
C,C,C,P,C,G,G,G,G,O,O,Y,P,P,R,P,B,B,O,Y,Y,O,Y,R,B,B,R
C,C,C,P,C,G,G,G,G,P,B,B,P,P,R,Y,Y,O,B,B,R,Y,O,R,Y,O,O
C,C,C,P,C,R,P,P,R,O,O,Y,B,B,R,P,B,B,O,Y,Y,O,Y,G,G,G,G
C,C,C,P,C,R,P,P,R,O,B,B,O,Y,R,P,Y,G,B,B,G,O,O,G,Y,Y,G
C,C,C,P,C,R,P,P,R,O,Y,Y,B,B,R,P,B,B,O,O,Y,G,O,Y,G,G,G
C,C,C,P,C,R,P,P,R,B,O,G,B,O,R,P,Y,Y,O,O,G,B,Y,G,B,Y,G
C,C,C,P,C,R,P,P,R,B,Y,O,B,B,R,P,B,G,Y,Y,O,Y,O,O,G,G,G
C,C,C,P,C,R,P,P,R,B,Y,Y,B,B,R,P,B,O,G,G,Y,G,O,Y,G,O,O
C,C,C,P,C,R,P,P,R,Y,O,O,Y,O,R,P,B,B,Y,Y,O,G,G,G,B,B,G
C,C,C,P,C,R,P,P,R,Y,B,B,Y,Y,R,P,O,G,B,B,G,O,Y,G,O,O,G
C,C,C,P,C,R,P,P,R,Y,Y,G,Y,O,R,P,B,B,G,G,G,Y,O,O,B,B,O
C,C,C,P,C,R,P,P,R,G,B,B,B,B,R,P,O,Y,G,G,G,O,Y,Y,O,O,Y
C,C,C,P,C,R,P,P,R,G,G,G,O,Y,R,P,Y,Y,O,O,G,O,B,B,B,B,Y
C,C,C,P,C,R,B,B,R,O,O,Y,P,P,R,P,B,B,O,Y,Y,O,Y,G,G,G,G
C,C,C,P,C,R,B,B,R,O,Y,Y,P,P,R,P,B,B,O,O,Y,G,O,Y,G,G,G
C,C,C,P,C,R,B,B,R,P,Y,O,P,P,R,G,B,B,Y,Y,O,Y,O,O,G,G,G
C,C,C,P,C,R,G,B,R,P,Y,O,P,P,R,G,B,B,Y,Y,O,Y,O,O,G,G,B
C,C,C,B,C,O,B,O,O,B,Y,Y,B,Y,R,P,O,R,G,G,G,P,Y,G,P,P,R
